1.45945195193264e-05,1.17e-05,1.38e-10,4,3.2832910318764e-05,2.11e-05,9.16170854271357e-10,7,3.83405790253616e-05,3e-05,1.18006030150754e-09,10,4.02554344157407e-05,3.005e-05,1.10847989949749e-09,5,1.07526519036991e-05,8.12267341043342e-06,1.16174993965833e-10,19,1.44913767461894e-05,1.26e-05,7.8140703517588e-11,2,1.6985287751463e-05,1.405e-05,2.34168341708543e-10,4,1.34350288425444e-05,1.005e-05,1.02690954773869e-10,2,NaN
1.49833240637717e-05,1.145e-05,1.93545226130653e-10,5,2.17485631709315e-05,1.59e-05,4.06140703517588e-10,5,2.50099980007996e-05,2.055e-05,4.75354271356784e-10,6,2.65706605111729e-05,1.78e-05,5.47447236180905e-10,5,1.14837720599298e-05,8.66325095156626e-06,1.32516831532089e-10,21,1.24298028946561e-05,1.155e-05,3.03291457286432e-11,2,1.57162336455017e-05,1.14e-05,1.37437185929648e-10,2,1.3228756555323e-05,1.02e-05,1.26633165829146e-10,2,NaN
1.4422205101856e-05,1.07e-05,1.67879396984925e-10,3,2.259424705539e-05,1.615e-05,5.0841959798995e-10,4,2.6229754097208e-05,2.33e-05,5.39407035175879e-10,8,2.17025344142107e-05,1.82e-05,4.68502512562814e-10,7,1.07654006374664e-05,8.30126615557623e-06,1.16474583621521e-10,22,1.52315462117278e-05,1.29e-05,7.61306532663317e-11,2,1.17898261225516e-05,8.2e-06,7.21206030150754e-11,0,1.29228479833201e-05,1.04e-05,1.31658291457286e-10,3,NaN
1.3114877048604e-05,1.08e-05,1.05286432160804e-10,4,2.8661821295933e-05,1.995e-05,7.45123115577889e-10,2,2.89482296522603e-05,2.62e-05,7.7948743718593e-10,10,2.41039415863879e-05,2.1e-05,5.38804020100503e-10,8,8.65684929925042e-06,6.7238555103033e-06,7.53025728317127e-11,22,1.50166574176812e-05,1.135e-05,1.10489949748744e-10,1,1.21655250605964e-05,9.60000000000001e-06,5.61206030150754e-11,0,1.49499163877261e-05,1.195e-05,1.08479899497487e-10,1,NaN
1.79443584449264e-05,1.52e-05,1.29437185929648e-10,3,3.18355147594632e-05,2.315e-05,5.51856783919598e-10,1,2.83637092073657e-05,2.535e-05,5.71736180904522e-10,8,2.19658826364888e-05,1.895e-05,3.26630653266332e-10,8,7.87754539808685e-06,5.95969204147274e-06,6.23614809607922e-11,22,1.37477270848675e-05,9.5e-06,1.25628140703518e-10,2,1.34536240470737e-05,1.14e-05,1.38130653266332e-10,0,1.39104277432436e-05,1.065e-05,1.2606783919598e-10,1,NaN
2.07605394920267e-05,1.71e-05,3.53557788944724e-10,6,2.73495886623547e-05,2.05e-05,6.82522613065327e-10,7,2.37486841740758e-05,2.12e-05,4.66331658291458e-10,14,1.95320249846246e-05,1.545e-05,2.83917085427136e-10,5,6.78818608417058e-06,4.68993912266993e-06,4.62674856031763e-11,30,1.64468842033985e-05,1.275e-05,1.59997487437186e-10,4,1.46969384566991e-05,1.15e-05,1.80904522613065e-10,3,1.25099960031968e-05,1.005e-05,1.27434673366834e-10,2,NaN
1.66282891483159e-05,1.365e-05,2.53263819095477e-10,8,2.31948270094864e-05,1.85e-05,5.27678391959799e-10,12,2.18746428542274e-05,1.845e-05,4.66771356783919e-10,17,2.09045449603669e-05,1.67e-05,3.46572864321608e-10,6,6.52849955660597e-06,3.96721805289509e-06,4.28286744300801e-11,47,1.3856406460551e-05,1.16e-05,1.00341708542713e-10,3,1.43527000944073e-05,1.03e-05,1.14412060301507e-10,3,1.58271917913444e-05,1.225e-05,1.50248743718593e-10,1,NaN
1.90131533418315e-05,1.455e-05,2.29243718592965e-10,5,2.21923410211722e-05,1.605e-05,3.65505025125628e-10,7,2.33987179135952e-05,1.595e-05,4.73304020100502e-10,10,2.48394846967484e-05,2.07e-05,5.11396984924623e-10,5,1.09308182925735e-05,7.36475376081424e-06,1.19743615912743e-10,37,1.2e-05,9.5e-06,6.6894472361809e-11,0,1.35830777072061e-05,1.015e-05,1.23494974874372e-10,2,1.59843673631458e-05,1.175e-05,1.47032663316583e-10,1,NaN
1.87483332592527e-05,1.315e-05,2.57726130653266e-10,3,1.8907670401189e-05,1.385e-05,3.12138190954774e-10,11,1.86010752377383e-05,9.60000000000001e-06,3.12753768844221e-10,5,1.994993734326e-05,1.53e-05,3.71768844221106e-10,4,1.1342703406766e-05,8.52134763000461e-06,1.2900730888922e-10,24,1.25499003980111e-05,8.65e-06,8.30929648241206e-11,0,1.44395290781937e-05,1.185e-05,1.30831658291457e-10,3,1.35646599662505e-05,1.12e-05,1.10592964824121e-10,5,NaN
1.18110118110177e-05,8.95000000000001e-06,1.09243718592965e-10,2,1.83030052177231e-05,1.42e-05,2.69105527638191e-10,9,1.802775637732e-05,1.22e-05,2.48804020100503e-10,4,1.17898261225516e-05,9.00000000000001e-06,1.30653266331658e-10,4,9.32355569347737e-06,7.3710433303617e-06,8.70622778074138e-11,29,1.21860576069539e-05,9.15000000000001e-06,9.3464824120603e-11,1,1.21243556529821e-05,9.90000000000001e-06,7.8502512562814e-11,3,1.24899959967968e-05,1.12e-05,8.92060301507537e-11,8,NaN
